34;32;52 34;32;52 34;32;52 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 34;32;52 34;32;52 34;32;52 251;242;54 251;242;54 251;242;54 251;242;54 
34;32;52 34;32;52 34;32;52 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 34;32;52 34;32;52 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 
34;32;52 34;32;52 34;32;52 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 34;32;52 34;32;52 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 
34;32;52 34;32;52 34;32;52 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 34;32;52 34;32;52 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 
34;32;52 34;32;52 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 34;32;52 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 
34;32;52 34;32;52 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 34;32;52 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 
34;32;52 34;32;52 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 34;32;52 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 
34;32;52 34;32;52 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 34;32;52 34;32;52 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 
34;32;52 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 34;32;52 34;32;52 34;32;52 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 
34;32;52 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 34;32;52 34;32;52 34;32;52 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 251;242;54 
34;32;52 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 34;32;52 34;32;52 34;32;52 34;32;52 34;32;52 251;242;54 251;242;54 251;242;54 34;32;52 
34;32;52 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 34;32;52 34;32;52 34;32;52 34;32;52 34;32;52 34;32;52 34;32;52 34;32;52 34;32;52 34;32;52 
106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 34;32;52 34;32;52 34;32;52 34;32;52 34;32;52 34;32;52 34;32;52 34;32;52 34;32;52 91;110;225 
106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 34;32;52 34;32;52 34;32;52 34;32;52 34;32;52 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 
106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 106;190;48 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 
106;190;48 106;190;48 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 
91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 
91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 
91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 
91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 91;110;225 
